"from","to","partial_correlation","abs_partial_correlation","sign"
"Glucose","Glycocholate",0.221246777269932,0.221246777269932,"Positive"
"Taurine","Myristate",-0.221186482266301,0.221186482266301,"Negative"
"Lactosyl_N_palmitoyl_sphingosine","Phenylalanine",0.221050522985351,0.221050522985351,"Positive"
"Oleate","Myristate",-0.221037015817366,0.221037015817366,"Negative"
"Hydroxyoctanoate_3","Myristate",0.220873325187419,0.220873325187419,"Positive"
"Enyl_oleoyl_GPE","Myristate",0.220842110515219,0.220842110515219,"Positive"
"Palmitoyl_oleoyl_GPE","Citrate",-0.220565419526162,0.220565419526162,"Negative"
"Taurine","Ornithine",0.22053385375221,0.22053385375221,"Positive"
"Erythronate","Adenosine",-0.220390645098269,0.220390645098269,"Negative"
"Gamma_glutamylalanine","Fumarate",0.220340047774105,0.220340047774105,"Positive"
"Guanidinoacetate","Leucine",0.220306006647337,0.220306006647337,"Positive"
"Enyl_oleoyl_GPE","GPC",0.219846859959514,0.219846859959514,"Positive"
"Docosahexaenoylcholine","Paraxanthine",0.219801250660609,0.219801250660609,"Positive"
"Enyl_palmitoyl_palmitoyl_GPC","Alpha_ketoglutarate",0.219728006436121,0.219728006436121,"Positive"
"Stearoyl_GPI","Linoleate",0.219640690481367,0.219640690481367,"Positive"
"Leucylalanine","Tryptophan",-0.219588382953391,0.219588382953391,"Negative"
"Allantoin","Hippurate",0.21945063664711,0.21945063664711,"Positive"
"Glutamine","Paraxanthine",-0.219362605315723,0.219362605315723,"Negative"
"Palmitoyl_dihydrosphingomyelin","Deoxyuridine_2",-0.219227737896442,0.219227737896442,"Negative"
"Glycocholate","Gamma_glutamylglutamate",0.219136489641113,0.219136489641113,"Positive"
"Pyroglutamine","Enyl_palmitoyl_oleoyl_GPC",0.219059067240424,0.219059067240424,"Positive"
"Asparagine","Sorbitol",0.21901566050985,0.21901566050985,"Positive"
"Palmitoylcholine","Hydroxybutyrate_3",0.21874497981624,0.21874497981624,"Positive"
"Adenosine","Gamma_glutamylglutamate",-0.218461465395459,0.218461465395459,"Negative"
"Cholesterol","Nicotinamide",-0.218450697101926,0.218450697101926,"Negative"
"Stearate","Riboflavin",0.218155061944757,0.218155061944757,"Positive"
"Sphingomyelin_d18_2_16_0","Acetylcarnitine",0.218153345612947,0.218153345612947,"Positive"
"Enyl_palmitoyl_GPC","Tyrosine",0.218015598700783,0.218015598700783,"Positive"
"Taurine","Hydroxymyristate_3",0.217978909138544,0.217978909138544,"Positive"
"S_adenosylhomocysteine","Thiamine",-0.217928893848059,0.217928893848059,"Negative"
"Mannose","Ribonate",0.217807713731354,0.217807713731354,"Positive"
"Anhydroglucitol_1_5","Enyl_palmitoyl_GPE",0.217383147086113,0.217383147086113,"Positive"
"Hydroxymyristate_3","Lactate",-0.217374819206018,0.217374819206018,"Negative"
"Glutamine","Leucine",-0.217280632221762,0.217280632221762,"Negative"
"Fructose","Serine",0.216776167089613,0.216776167089613,"Positive"
"Dihydroorotate","Propionylcarnitine",-0.21654294360689,0.21654294360689,"Negative"
"Hydroxybutyrate_hydroxyisobutyrate_2","Stearoyl_GPI",-0.216346484407685,0.216346484407685,"Negative"
"Inosine","Ornithine",-0.216169813497598,0.216169813497598,"Negative"
"Aminoisobutyrate_3","Pyridoxal",0.216159890086799,0.216159890086799,"Positive"
"Enyl_palmitoyl_linoleoyl_GPC","Theobromine",-0.215919306298904,0.215919306298904,"Negative"
"Enyl_oleoyl_GPE","Theobromine",-0.21525351572737,0.21525351572737,"Negative"
"Pipecolate","Sphingomyelin_d18_2_16_0",-0.214792900373202,0.214792900373202,"Negative"
"Sphingomyelin_d18_2_24_1","Docosahexaenoate",-0.214676838468386,0.214676838468386,"Negative"
"Arginine","Eicosapentaenoate",0.214587374368303,0.214587374368303,"Positive"
"Palmitoylcholine","Enyl_palmitoyl_GPE",0.214343285415695,0.214343285415695,"Positive"
"Maltose","Allantoin",-0.214227738389835,0.214227738389835,"Negative"
"Cysteine_glutathione_disulfide","Succinate",0.214099423297042,0.214099423297042,"Positive"
"Docosahexaenoylcholine","Cholate",0.213958395132287,0.213958395132287,"Positive"
"Sphingomyelin_d18_2_16_0","Gamma_glutamylalanine",0.213623258924734,0.213623258924734,"Positive"
"Sphingomyelin_d18_1_24_1","Oleate",-0.213546258788283,0.213546258788283,"Negative"
"Cys_gly_oxidized","Distearoyl_GPC",0.213344557846588,0.213344557846588,"Positive"
"S_adenosylhomocysteine","Stearoyl_GPC",-0.21321220113677,0.21321220113677,"Negative"
"Anhydroglucitol_1_5","Myristate",0.212929889638048,0.212929889638048,"Positive"
"Hydroxylaurate_3","Dihydroorotate",-0.21282261724962,0.21282261724962,"Negative"
"Bromotryptophan_5","Sorbitol",0.212696250124847,0.212696250124847,"Positive"
"Enyl_palmitoyl_GPE","Deoxycholate",0.212604323613878,0.212604323613878,"Positive"
"Acetylcarnitine","Uridine",0.21183463618961,0.21183463618961,"Positive"
"Malate","Ornithine",-0.211696616038674,0.211696616038674,"Negative"
"Asparagine","Choline",0.211662161634274,0.211662161634274,"Positive"
